title,neighborhood,time_duration,bedrooms,bathrooms,size,price
فيلا للبيع في شارع ابراهيم البرهان ، الرياض,الجنادرية,3 days 00:00:00,4.0,4.0,340.0,1150000.0
فيلا للبيع في المملكة العربية السعودية,لبن,3 days 00:00:00,4.0,5.0,200.0,850000.0
فيلا للبيع في الرياض,طويق,60 days 20:00:00,5.0,5.0,375.0,1220000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,3 days 00:00:00,4.0,4.0,370.0,2100000.0
فيلا للبيع في الرياض,العارض,2 days 00:00:00,4.0,5.0,425.0,1850000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 04:00:00,4.0,4.0,300.0,1600000.0
فيلا للبيع في الرياض,النرجس,1 days 00:00:00,5.0,5.0,225.0,1180000.0
فيلا للبيع في الرياض,طويق,0 days 12:00:00,5.0,5.0,375.0,1180000.0
فيلا للبيع في شارع بشير السعداوي ، حي الخزامى ، الرياض,الخزامى,2 days 00:00:00,5.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في شارع عمر بن وهب ، الرياض,المهدية,0 days 05:00:00,5.0,5.0,360.0,1250000.0
فيلا للبيع في شارع جبل الارام ، الرياض,قرطبة,30 days 10:00:00,5.0,5.0,480.0,2250000.0
فيلا للبيع في المملكة العربية السعودية,العارض,0 days 07:00:00,5.0,5.0,200.0,1270000.0
فيلا للبيع في الرياض,المهدية,30 days 10:00:00,5.0,5.0,200.0,780000.0
فيلا للبيع في حي طويق ، الرياض,طويق,7 days 00:00:00,5.0,5.0,242.0,850000.0
فيلا للبيع في شارع جبل اخزم ، حي النخيل ، الرياض,النخيل,0 days 01:00:00,5.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في الرياض,الرمال,2 days 00:00:00,4.0,3.0,325.0,1250000.0
فيلا للبيع في شارع ممر 508 ، الرياض,النرجس,1 days 00:00:00,4.0,4.0,375.0,2000000.0
فيلا للبيع في شارع 246 ، الرياض,الملقا,4 days 00:00:00,5.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,1 days 00:00:00,5.0,4.0,300.0,950000.0
فيلا للبيع في شارع رقم 334 ، الرياض,الملقا,0 days 11:00:00,5.0,5.0,480.0,1895102.561459796
فيلا للبيع في شارع راشد بن دباس ، حي اشبيلية ، الرياض,اشبيلية,6 days 00:00:00,5.0,3.0,648.0,1750000.0
فيلا للبيع في شارع وادي الجناح ، حي السليمانية ، الرياض,السليمانية,0 days 01:00:00,3.0,4.0,352.0,1200000.0
فيلا للبيع في شارع المعيدن ، حي السعادة ، الرياض,السعادة,1 days 00:00:00,5.0,5.0,500.0,1200000.0
فيلا للبيع في الرياض,العارض,0 days 11:00:00,5.0,5.0,300.0,1400000.0
فيلا للبيع في شارع رغدان ، حي الصحافة ، الرياض,الصحافة,3 days 00:00:00,5.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في شارع أحمد بناني ، الرياض,النرجس,14 days 00:00:00,5.0,5.0,400.0,2027200.0
فيلا للبيع في حي الشرق ، الرياض,الشرق,0 days 09:00:00,5.0,5.0,375.0,1250000.0
فيلا للبيع في حي المونسية ، الرياض,المونسية,1 days 00:00:00,5.0,5.0,325.0,1400000.0
فيلا للبيع في شارع وادي الرباح ، حي طويق ، الرياض,طويق,7 days 00:00:00,5.0,3.0,400.0,750000.0
فيلا للبيع في شارع اوس الزاهد ، حي النسيم الغربي ، الرياض,الغربي,4 days 00:00:00,5.0,5.0,475.6799679165831,2500000.0
فيلا للبيع في شارع نجم الدين الأيوبي ، الرياض,طويق,0 days 06:00:00,5.0,4.0,360.0,900000.0
فيلا للبيع في حي القادسية ، الرياض,القادسية,30 days 10:00:00,5.0,5.0,420.0,1500000.0
فيلا للبيع في حي الرمال ، الرياض,الرمال,60 days 20:00:00,4.0,5.0,300.0,1050000.0
فيلا للبيع في شارع المحاميد ، حي الحزم ، الرياض,الحزم,0 days 08:00:00,4.70312813314618,5.0,288.0,880000.0
فيلا للبيع في شارع سليمان العدواني ، حي عرقة ، الرياض,عرقة,30 days 10:00:00,4.70312813314618,5.0,525.0,2135000.0
فيلا للبيع في شارع قلعة الفسطاط ، حي اشبيلية ، الرياض,اشبيلية,0 days 05:00:00,4.0,4.0,414.0,1800000.0
فيلا للبيع في شارع خيبر ، الرياض,العارض,0 days 07:00:00,3.0,5.0,360.0,1650000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,2 days 00:00:00,5.0,5.0,550.0,1895102.561459796
فيلا للبيع في طريق الامير عبدالرحمن بن سعود ، الرياض,طويق,0 days 12:00:00,5.0,5.0,316.0,1200000.0
فيلا للبيع في حي الدار البيضاء ، الرياض,البيضاء,7 days 00:00:00,5.0,5.0,300.0,950000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,4 days 00:00:00,6.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في شارع الشبيكة ، حي الملز ، الرياض,الملز,4 days 00:00:00,5.0,5.0,624.0,1150000.0
فيلا للبيع في الرياض,الجنادرية,60 days 20:00:00,5.0,3.0,300.0,800000.0
فيلا للبيع في شارع البسالة ، الرياض,الرمال,30 days 10:00:00,4.0,5.0,379.0,1300000.0
فيلا للبيع في شارع عبدالله بن مرخان ، حي قرطبة ، الرياض,قرطبة,30 days 10:00:00,5.0,5.0,480.0,2400000.0
فيلا للبيع في شارع التخصصي ، حي النخيل ، الرياض,النخيل,0 days 00:01:00,4.0,5.0,290.0,2200000.0
فيلا للبيع في شارع ابي بكر الطحان ، حي الخليج ، الرياض,الخليج,2 days 00:00:00,5.0,4.0,475.6799679165831,1650000.0
فيلا للبيع في المملكة العربية السعودية,طويق,21 days 00:00:00,4.0,4.0,220.0,800000.0
فيلا للبيع في شارع العمارية ، حي الملقا ، الرياض,الملقا,60 days 20:00:00,4.70312813314618,5.0,400.0,2700000.0
فيلا للبيع في حي المعيزيلة ، الرياض,المعيزلة,7 days 00:00:00,5.0,5.0,437.0,1600000.0
فيلا للبيع في طريق نجم الدين الأيوبي الفرعي ، حي العوالي ، الرياض,نمار,7 days 00:00:00,5.0,5.0,355.0,1150000.0
فيلا للبيع في شارع نجم الدين الأيوبي ، الرياض,طويق,60 days 20:00:00,5.0,5.0,300.0,970000.0
فيلا للبيع في الرياض,طويق,30 days 10:00:00,3.0,4.0,420.0,1000000.0
فيلا للبيع في شارع علي البجادي ، الرياض,الرمال,14 days 00:00:00,4.0,3.0,438.0,1400000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 07:00:00,4.0,4.0,276.0,1700000.0
فيلا للبيع في الرياض,النرجس,7 days 00:00:00,5.0,5.0,324.0,1600000.0
فيلا للبيع في حي القيروان ، الرياض,القيروان,3 days 00:00:00,5.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في الرياض,المهدية,4 days 00:00:00,4.70312813314618,5.0,450.0,1450000.0
فيلا للبيع في المملكة العربية السعودية,طويق,7 days 00:00:00,5.0,5.0,350.0,1200000.0
فيلا للبيع في حي العوالي ، الرياض,نمار,0 days 08:00:00,5.0,5.0,271.0,1080000.0
فيلا للبيع في شارع الكوادر ، حي الربيع ، الرياض,الربيع,0 days 03:00:00,4.0,3.0,312.0,1750000.0
فيلا للبيع في شارع ابراهيم البرهان ، الرياض,الجنادرية,30 days 10:00:00,5.0,5.0,336.0,1060000.0
فيلا للبيع في شارع عبدالله بن العاص ، الرياض,العارض,30 days 10:00:00,4.0,5.0,325.0,1550000.0
فيلا للبيع في الرياض,المهدية,7 days 00:00:00,6.0,4.0,450.0,1510000.0
فيلا للبيع في الرياض,طويق,0 days 08:00:00,5.0,5.0,350.0,1200000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 11:00:00,5.0,5.0,375.0,2150000.0
فيلا للبيع في شارع حميد الهلالي ، حي الخليج ، الرياض,الخليج,5 days 00:00:00,5.0,5.0,312.0,1250000.0
فيلا للبيع في حي القادسية ، الرياض,القادسية,1 days 00:00:00,5.0,5.0,325.0,1350000.0
فيلا للبيع في الرياض,طويق,1 days 00:00:00,5.0,5.0,300.0,930000.0
فيلا للبيع في الرياض,طويق,0 days 12:00:00,5.0,5.0,375.0,1220000.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,2 days 00:00:00,5.0,5.0,450.0,1380000.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,2 days 00:00:00,5.0,5.0,300.0,1080000.0
فيلا للبيع في طريق عثمان بن عفان ، حي الندى ، الرياض,الندى,0 days 11:00:00,5.0,5.0,368.0,2500000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 07:00:00,4.0,4.0,330.0,1700000.0
فيلا للبيع في حي الياسمين ، الرياض,العارض,0 days 15:00:00,5.0,5.0,380.0,1900000.0
فيلا للبيع في طريق الإمام عبدالله بن سعود بن عبدالعزيز ، حي القادسية ، الرياض,القادسية,28 days 00:00:00,6.0,5.0,375.0,1380000.0
فيلا للبيع في الرياض,طويق,0 days 08:00:00,3.0,5.0,450.0,1000000.0
